Fon,French
E cí mɔ̆,Ca reste ainsi.
Bi ɖie,Voici tout
un gbɛ́ xó towé,je n'accepte pas ce tu as dit
Fí tɛ́ a ná jɛ te ɖè ?,Où descendras-tu ?
Dεn kan,Tendre une corde
Awii ɔ ɖo xwe gbe,Le chat est dans la maison.
Ku d'azɔ,Salut (merci) pour le travail
Un xo xwé,Je vais à la maison.
É yà glŏ mì,Il m’a heurté.
Mawu n'ε ganjininɔ,Dieu lui donne la santé !
tíntɔ́n yètɔ́n kó yá à,leur sortie est
Nukplɔnkplɔn vo,Une leçon spéciale.
Mi ɖɔ xojɔxo nu mi ɖe ?,Dites-vous la vérité ?
é xwè gle tɔn ta,il va dans son champ
flɔ́flɔ́zɔ̀n - jijízɔ̀n,hydropisie
Un ɖò wàyìwáyí lɛ́ kpɔ́n wɛ̀,Je regarde les passants.
kponɔ ɔ ɖo ajotɔ lε cɔ wε,le gendarme guette les voleurs
Un ɖa ɖo myɔ yeɖe ji nu gan xixo ko.,Je cuis sur feu doux pendant 20 mn 
Un ɖo so fan wε,J’escalade le rocher.
Ye nɔ yi ze lan ɖo fiɖe,Ils mettent de la viande dans un endroit.
Kofi nɔ te a ɖo e xwe Kutɔnu.,Kofi n'a pas attendu car il allait à Cotonou
hùn mε nú mε,déclarer ouvertement
jigbɔ̀ - aɖò kicokì - cokícokí - jimakplɔ́n - kplɔ́nmásè - kplɔ́nmásènɔ̀,malappris
e ɖò galí xwí wɛ̀,il mange du gari sec
wùtú cé lí,mon corps porte en relief la trace de coups de fouet
nyì akɔ̀,jouer avec enjeu
É yí fánjí,Il est allé dans la savane.
avɔ̀ - awù - s’ávɔ̀,vêtement
wà ɖaxó,être âgé
ani a ɖa,qu'est
Sa kpò nú mì,Réserve m’en une partie.
Towe jăwè,Cela t'arrivera aussi.
e nyala tawun wε à,c'est si grave
Un zé gŭlɔ yi jí nú wè,Je lève la main en ton honneur.
E nyɔ́ ganjí,C’est très bien.
đ'áyi tè ma hɛn gble ó,fais attention de ne pas l'abîmer
xwe kpíkpé - xwè yàɖéyaɖé - xwè yɔ̀yɔ́ - xwekpíkpézàngbè,le jour de l'an
xɔ̀ sɔ́,charpente d'une maison
a ɖò titewungbe à wɛ́ à,est
kàn agbàn,offrir des présents au retour d'un voyage
Un ze amyɔ mɛ,Je tourne à gauche.
bɔ̀ dŏ wŭ,se tenir à côté de
Sɛ mɛ do akpagbe,Enterrement provisoire.
xɔgbagán - xɔgbakpánù,tôle pour couvrir une maison
Amɔ jɔmεhunj'ayitεn ɖokpo ɖo fi.,"Mais, en revanche, il y a un grand aéroport : "
hɛnnu wɛ nyi sosyɛn nú gbetɔ sin togun,lobɔ togun enɛ ɔ kpodo acɛkpikpa to ɔ tɔn kpan ka ɖo na jɛ hun do jĭ tɔ
nugbo wè,c'est la vérité
céé - céké - wùyɛ̀yɛ́ afɔyɛyɛ́,sain et sauf
Avun slɛ́ gŏ,Les chiens se sont accouplés.
bà nùɖé nú mí ó,cherche donc quelque chose pour moi
nuwanyɛdo enɛ ɔ awovi wɛ,cette erreur n'est qu'un accident
mi d'asa hunɖotεn sin ali ɔ mi na dlɔn ɖo togan ɔ sin xɔkɔn bo finε ɔ mi si mɔ xwedo tɔn sin mε dokpo,vous traversez le rue de la gare vous vous dirigez vers le palais du président et la vous verrez peut
gan nabi wɛ,quelle heure est
Hwè klé,Le ciel s’éclaircit (après la pluie).
un gɔ̀n xwé,je me suis absenté de la maison
lisɛ́ ɖó aɖĭ,le lissé contient du poison
Làn sísí wɛ̀,C’est un animal redoutable.
Un nɔ sa salada,Je vends des salades.
Abɔxwisun ɖo azan gban,Novembre a 30 jours.
Un kpò ɖò nù ɖú wɛ̀,Je n’ai pas encore fini de manger.
"Kofi wε wa din ɔ, mi na yi","Si Kofi venait maintenant, nous partirions ."
flin bo na n'ε nuɖuɖu gan atɔɔn mε azan lε bi,souviens
"Kpò, kpò mɛxó, dŏ mɛxó, kpò nyɔ̀ɖàxó, kpò nyɔxó",Etre vieux
Un ná gbà agɔ cé lɛ́ bó ná vɔ́ ɖaxó tɔ̀n ɖĕvo dó,Je vais démolir mes greniers et en construire de plus grands.
nɛ mi nɔ gosin dɔn gbɔn xwe ɖokpo ɖokpo mɛ,comment est
hùn gì ɔ́ nyi jɛ̀,mets l'akassa à découvert
E lɛ́ jló ná sɔ́ gbɛtɔ́ lɛ́ dó ɖó togun ɖokpó ná,Il veut faire ainsi de tous les hommes un seul peuple.
dŏ tojihún,aller en bateau
Mε ɖokpo hɔn,Un d'eux a pris la fuite
E wá bà jonɔ mĭ bó ɖò kpɔ́ xá mĭ,Il vient nous visiter et demeurer avec nous.
fí bì zàwé,il fait bien clair
măwŭ gànhúnútɔ́,dieu maître de tout
Gù kú w'ɛ́ kú,Il est mort dans un accident de voiture.
un jlo na ɖu agbade kpɛɖe,je désire manger un peu de maïs
E ɖo nu ɖee mεsi tɔn nɔ ɖɔ n'i ɔ flin wε.,Il pensait à ce que lui répétait souvent sa maîtresse
fúnfɔ́n sín kú wá gbɛ̀,le jour de pâques
é ɖá yĕ,il les a séparés
Mɔ̌ wɛ̀ à cé ?,N’est-ce pas cela ?
gbè yètɔ́n ɖò kpɔ́,ils sont très unis
àbă - awà,bras
mă nùsúnnú,sauce de légumes
fitɛ yi a ɖe azɔmɛ a,où vas
Vi ɔ dlεn alɔ nu nɔ tɔn.,Bébé tend les bras à sa mère 
"Eo, un ɖo xwe tεnwe","Non, j'ai sept ans"
Ɖo tɔsisa to dɔn,Au bord du fleuve
Yè kplé ɖò to'xɔ́sú núkɔ̀n,Ils se sont réunis en présence du chef de village.
hunsìn - hε̆nnù - hὲnnùmɔ́ - kún - mεmε,parenté
Kanɖe gban nukun tantɔn,78
ayijàyĭ - vivomimɔ̀ - vuvomumɔ,sérénité
Mi j'ágɔ yi gŭdò,Ecartez-vous.
É xwè gle tɔn ta,Il va à la ferme.
E ɖo xo towe ɖɔ wε ɖo gbavinukpεnnɔ mε,On parle de toi à la télé
É n’ɛ́ azɔ́ bùnɔ̀ ɖé,Il lui a donné un travail précis.
sɔ́ jὲ,manger sans être rassasié
"Un xwe wemaxɔmε Yaounde tɔn, amɔ nɔvi ce xwe wemaxɔmε Côte d'Ivoire tɔn","Je vais à l'université de Yaoundé, mais mon frère va à l'université en Côte d’Ivoire."
E gbɛ́ kpɔ́wun afɔ́tɔn nukún ɖokpó à ?,Est-ce qu'elle refuse quatre cents Francs ?
E vivi nu mi din,J’aime réellement ça
kplɔ́n nŭ mε,former quelqu'un
vi ɔ nɔ jla agban kpikpεn,l'enfant transporte une lourde charge
é jlɛ́ nŭ dó nù wú,il a fait une comparaison
hwenu è un ɖò kpɛví ɔ́,quand j'étais petit
fɛ́nzán - fέnɖɔ́,natte de joncs
Tere ze gbe ta,Téré décida un jour.
e jɛ́ mì ganjí,cela me sied très bien
xεvi kpεvi lε nɔ hlɔn fun yetɔn,les petits oiseaux font gonfler leurs plumes
Ma kéya ná ó,Ne t'en soucie pas.
Kofi yi gbeɖe ǎ,Kofi n'est jamais parti
din jɛ́n vì ɔ́ fɔ́n,l'enfant vient de se réveiller
dà mε,inviter quelqu'un
É blí nú mì,Il s’est humilié devant moi.
jì wɛ́ zɔ́n bɔ̀ un gbɔ hwenu,je suis en retard à cause de la pluie
wèmá tówé ɖo lele sa wɛ̀ ɖò zinkpo jí,ton livre traîne sur le siège
và d'é wú - syɛ́n wŭ - syέn xú - vε̆,tâcher
Nɔnɔ yi wan nu kan lilɔn,Grand-mère aime tricoter.
ɖagbe,bon
hwenuxo,histoire
"Toxosu zunkan mɛ tɔn lɛ ɔ, gbɛtɔ kpɛvi sin kun mɛ ye jɔ ɖe",Les pygmées de la brousse sont une race d'hommes très petits.
nuɖé nɔ́ hɛ́n ɛ́ ă,rien ne l'arrête
e ɖò mɔ̀ có é ká wá,et pourtant il est venu
Un sɛ yi kɔn bo kpɔ́n,Je l'ai regardée de près.
a mɔ̀ nùɖé hŭn nyí mamɔtɔ́,si tu vois quelque chose fais comme si tu ne voyais rien
e lá wè,cela ne t'a pas profité
mi ɖó gbè kpɔ́ mi ma nɔ̀ vokán vokán ó,unissez-vous ne restez pas séparés
afɔtínxú - afɔxú - zàkɛ́tɛ́ xú,tibia
Mɔ̀ fɛ́,Le piège s’est déclenché.
Un ɖò lɛ̀nkpɔ́n jɛ́ wɛ̀,J'ai un rhume.
maga ɔ atinsinsɛn vivi wɛ,la mangue est un fruit sucré
Ajɔ̀ tɔ́n kpé n’í,Son commerce lui réussit bien.
un ná d'asi nú vĭ cè,je vais marier mon fils
dŏ zo mɛ̆,mets
Zun mɛtɔ,Insulter le père.
bɔ̀ - gbɔ̀jɔ́,être détendu
E tíin ɖ’aximɛ à ?,Y en a-t-il au marché ?
Jean ɖo ɖa wlowlo.,Il a les cheveux frisés 
tɔ́ cé ɖè kúnnú nú mì,mon père m'a rendu justice
atέn - góɖògóɖwé - hohún,une petite quantité
Ye jε so ɔ sin aga bi.,Ils arrivent au sommet de la colline
sin ɖiè,voici l'eau
ɖă - gbò - jă,trancher
Jikpamε ɔ ɖo sin gwle,Le jardin était sous l’eau .
mí tún kan n'í,nous l'avons libéré
Xomɛ hun mi,Je suis fier.
kùn ɖɔ̀ nú nùɖé,juger une chose
nu ci kɔ nu mi ɖo azɔ mitɔn wu,nous sommes fatigués par notre travail
awu ce nyí sìn,mon habit est mouillé
"Nu ɖebu ɖo jijε wε ɔ, e na ɖiɔ gbeta a.","Quoiqu'il advienne, il ne changera pas d'avis : "
e ko wlan wéma sè do mi a,il n'a pas encore répondu à ma lettre
Mi ta ye,On les a allumés
wè tɛ́ é ká ɖé xá wè,que t'a-t-il conseillé
vi lε byɔ yeɖe mε e ze hwε yetɔn lε kε ye,les enfants sont repentants on leur pardonne leurs fautes
Mε wε Kɔku ɖɔ nu Sika ɖɔ e ɖu mɔlikun ?,Qui Koku a-t-il dit à Sika qQui avait mangé le riz ?
E vɛ́,Cela fait mal.
Nu ɖopko ɔ wɛ,C'est la même chose.
Azɔmεvi lε nɔ gɔn azɔmε à ?,Les écoliers s'absentent-ils de l'école ?
Tamɛ tɔn kpé ă,Il est un peu fou.
Un ylɔ́́ ɛ̀ b’ɛ́ wá,Je l’ai appelé et il est venu.
fí tɛ́ a go sín,d'où reviens-tu
Wă è a wà wɛ́ nyɔ́ afɔ nú wè,Heureusement que tu es venu.
sɔ́ ɛ ɖó távo ɔ́ jí,mets-le sur la table
e j'àyĭ ɖò kútɔ́nú,il a atterri à cotonou
Xɛsi jɛ̀ jĭ ce,J’ai eu peur.
"Daagbo, vo ɖo ayi mε, mi na xwe do nukplɔn mε towe lε.","Grand-père, sois tranquille, nous suivrons tes conseils : "
kùn hŭn - kùn tɔjihún - kùn zɛ̀n,ramer
E nɔ sa degɔn,Il vend des crevettes
E ɖɔ̀ xó nú mí dó nunɔmɛ tɔn wú,Il m'a parlé sur sa façon d'être.
Ní má sɔ́ t’afɔ̀ Agɔnlin tomɛ ó !,Qu’il ne remette plus les pieds à Agonli !
mĭ byɔ aximɛ tróló jɛ́n kponɔ lɛ wá bɔ ye ɖu nǔ,nous sommes à peine entrés au marché que les gendarmes sont venus et ont mangé
tɔ́ cé dà nyɔ̆nù ahokò ɖokpó,mon père a épousé une femme de seconde main
nă gŭ,léguer
Nɔ tɔn ya vi bo ɖɔ,Sa mère pleura et dit
Kanlin lɛ gudo,Derrière les bêtes.
wà alànnŭ,être nuisible
Đo aximε,En plein marché
myɔ̆ alɔ̀,fermer la main
kinikini,lion
Tɔ ɔ́ fò nù lɛ́ bĭ,La rivière a tout ravagé.
A nɔ zɛ̀ jlɛ̀ wú,Tu dépasses la mesure.
zan mɛ tɛgbɛ ɖo sɛxwe,chaque nuit dans le ciel
un bló gbeɖe kpɔ́n ă,je ne l'ai jamais fait
mí ɖò xwé ă,nous sommes absents
Sun ɖe wa yi ɔ,Le mois avant
nu tε wutu mi ma ɖo yiyi wε a,pourquoi ne partez-vous pas
bo na yi Togbin.,et tu iras à Togbin.
agbaza wiwi,peau noire
Kɛ́nkún ɔ́ cí botoò,La goyave est bien grosse.
ɖè ala nú atín - gbò alà,ébrancher
Un ɖo eyɛ zun wɛ,Je suis en train de l’insulter.
alɔ ɖo ɖuɖu mi wε,j'ai mal à la main
E si nyi mɔ.,Ça se pourrait
e wɛ́ bló,c'est lui le coupable
"E nyɔ, mi bo ma sin xomɛ o","D'accord, ne vous énervez pas !"
Finɛ e blo… euh… Mawu sin… sin statue ɖo e blo Jezu sin…,"  C’est là qu’on a fait la statue de Dieu, on a fait la… de Jésus…"
Nɛ̆ e ka gbo sɔ́ nyì ?,Quelle est la conclusion ?
e nɔ́ sù ɖĕbŭ ă,il ne grandit pas du tout
Un sixu mɔ ɛ sɔ ă,Je ne peux le voir demain.
mε wε jlo na xo,c'est à qui de jouer
flín nŭ,se rappeler quelque chose
a nɔ bà nù dó dín,tu es trop curieux
un sɔ́ dó wèmá mɛ̀,je l'ai mis dans le livre
E vivi nu mi,Je suis heureux
"Vì é xò tɔ́ tɔ̀n alŏ xò nɔ̀ tɔ̀n ɔ, e nɔ ɖɔ n’í ɖɔ́ jí : ""A xo lɔ""̀","""A xo lɔ""̀ "
Hwenu kpo,Il reste du temps.
Un gbɔ̀ bó yì,"Malgré tout, je suis parti."
un tuwùn akwɛ́ tɔ̀n ă,je ne connais pas son prix
Xɔ ɔ gɔ bo ɖo gbagba,La case est pleine à craquer
dŏ xò nú mε,rendre quelqu'une enceinte
zεn,une marmite
E jló ná ɖɔ̀ xó,Il veut parler.
É ɖúɖɔ́ alɔ mláwún,Il a léché le doigt d’un seul coup.
E gló hŭn,Si ce n'est pas possible.
É hɔ́n wun bo ɖɔ̀ xó,Il a parlé en bravant tout le monde.
kpakpa lε ɖo tɔ lε wε ɖo sin ɔ mε,les canards se baignent dans la mare
jinukunyatɔ lɛ yi agban ɖo nu kɛkɛvi ɔ gbe,les moissonneurs vont charger la charrette
Mɔ ɖokpo ɔ ɖo militɛ lɛ kponɔ lɛ ɖesu sin kan mɛ,"  De même les militaires, les policiers eux aussi"
Gbenyatɔ ɔ da tu ɖokpo,Le chasseur a tiré un coup de fusil.
Un si jo e do a,Je ne pourrais pas le quitter.
É hù akwɛ́ cè,Il m’a fait perdre mon argent.
fá - fá xomɛ̀ - kú hŭn - xwè sɔ́,être calme
un lɛ́ kɔ ɔ́ un na wá kpɔ́n wè,j'irai te voir à mon retour
"Eyɛ mɛ vo ɔ, un ɖo akɔnkpikpan a vɔvɔ ă","Sans lui, je n’ai même pas de courage."
kɔnyasun ɖo azan gban nukun ɖokpo,octobre a trente et un jours
mi ɖo adingban ɖɔ wε,vous racontez un mensonge
Wă a wa ɔ nyɔ́,Ta venue tombe bien.
E kúsú cáyŏ,Il a trituré les feuilles de menthe.
un ɖó ná mɔ́ wè dandàn,je dois te voir obligatoirement
e nɔ́ mɔ̆ xɔ xwe wè,il resta ainsi pendant deux ans
mɛ e ya cobɔ e nɔ wa mɔ mɛ ɖokpo bɔ e na ɖo asu ɖokpo ɔ,c'est difficile avant de trouver une fille qui aura un copain
Kpɔn dó wŭ tɔ̀n,Prends-le en considération.
azinsatɔ ce,mon vendeur d'œufs
nyɛ ɖokpónɔ́ wɛ́ kàn,c'est personnel
Un na kan nu ɖokpo byɔ we,Je vais te poser une question.
Un ná lɛ́ kɔ wá kplá mi,Je reviendrai vous prendre avec moi.
mí yí wan n'í,nous l'admirons
Amɔ a na nu kafe.,Mais tu boiras du café 
un kpé é ɖ'alixò,je l'ai rencontré sur la route
e wɛ́ nɔ́ yí gbe nú nù kánbyɔ́ mɛ mìtɔ́n lɛ́ bĭ,c'est pourquoi nous nous tournons vers lui pour trouver une réponse à toutes nos questions
e ɖɔ ɖɔ kɔku na da asiba,il a cru que koku épousera asiba
arinɔla na kun mɔto,arinola conduira une voiture
Mi nɔ kan wezun ɖo kanlin ɔ gudo,Nous courons derrière la bête.
Káká sɔ́ yì,Jusqu'au bout.
mi ɖo manivelle ɔ lilɛ wɛ,on tourne la manivelle
E gble wu mi,II m'a blessé
Hùn ɔ̀ flí xwè,La pirogue a chaviré.
E nyi nu ɖokpo a.,Ce n'est pas la même chose
ɖè sà - sà kpεkpὲ,vendre au détail
Ma ɖu nu kpodo alɔvi kpo o.,Ne mange pas avec les doigts
Kú dó xwè yɔ̀yɔ́ !,Bonne année !
etɛ nu azinzɔnnɔ ɔ ɖe,que boit le malade
kú wɔ̀nwín - wɔ̀nwínnɔ̀,ladre
Akwɛ ɖo fi.,Il y a l’argent.
Un nɔ mɔ nu kpodo nukun ce lε kpo,Je vois avec les yeux.
"Yè dó kú nú Măwŭ, ɖó găn yè hú kɛntɔ́ yètɔ́n lɛ́ támɛ̀",Ils rendirent grâces à Dieu de la victoire qu’ils avaient remportée sur leurs ennemis.
"Nugbó ɔ́, agban ce kpɛ̀n ă","Vraiment, mon fardeau est léger."
xɔntɔn,amie
Azɔ̀mɛ́xwé linsinmɛ tɔn sín vì lɛ́ kó wá gbɔ́jɛ́,Les enfants du cours secondaire sont déjà en vacances.
Azɔmε mitɔn ɔ klo bo ɖo xɔ ɖagbe ɖee ye gba kpodo bliki kpo ɔ.,Notre école est un grand et beau bâtiment dont les murs sont en briques
jɔhɔnmɛhunɖotɛn,aéroport
"Bɔ ye hɛn ɔ, ye na kpla we bɔ a na kpɔn bi ɖokpo ɖokpo.","  Et si on veut, on va t’accompagner et tu verras tout un par un."
Un si kplɔn nu mi a ?,Pourrais-je vous donner un conseil ?
Mɔ̀ jɛ́n wɛ̀,C’est précisément ainsi.
un ɖu nu ɖo dɔn azan atɔn ɖie,j'y ai dîné il y a trois jours
e hɛn xó ɔ́ vívá,il a rendu nul tout propos
dada ɖaxo,soeur aînée
E na mi gan mε kpεɖe na do wlan wemakpaxwe enε ɔ lε.,Il m'a donné trop peu de temps pour écrire ces quelques pages 
Nyɔnu nyla we ɖu,Une femme danse mal.
e ɖo dɔn,c'est là
E ɖò dandan ă,Ce n'est pas nécessaire.
Vi ɖee do aga nu xwe atɔn lɛ,Les enfants au-dessus de trois ans.
nu ti na gu we a bo a si na ɖo mɔ akwɛ gege,tu n'aurais rien à perdre et tu pourrais peut
é ɖúɖɔ́ alɔ mláwún,il a léché le doigt d'un seul coup
Jlɛjlɛ nú Măwŭ,Gloire à Dieu.
a ɖo ɖagbe a,vas
E yá ló à ?,Est-ce prêt maintenant ?
"Un na sa mɔto ce, a nyi xixɔtɔ a","Je vends ma voiture, es-tu acheteur ?"
jεgbà - jεgbàn - jεgò - jεkà,salière
Un gbò gbè nú wè,Je fais exception pour toi.
Un nu byá fífá bɔ lanmɛ ce nɔ bló wiiìn,J’ai bu une bière fraîche et je sens un grand bien-être en moi (et ma chair fait wiiìn).
linfín ɔ́ mɛ́ kpɔ́ɖɔ́kpɔ́ɖɔ́,la farine est pure et très fine
Un ɖo na ɔ ɖo hun ɖe un zɔn afɔ ɔ.,J'aurais dû prendre un taxi au lieu de rentrer à pied
e mɔ asi e nyɔ nε ɔ ɖo finε,il y rencontra une épouse à son goût
Wa adan do mɛ ɖe ji bo ɖo do xɛsi n'ɛ,Faire des gestes violents en direction de l'autre pour lui faire peur.
Mε towe lε ɔ ye ka yi wan nu ye ɖe a ?,Tes parents s'aiment-ils ?
hì winnyá - kpɛ̀n wìn,faire honte
énɛ́ ɖ'é mɛ́ nɛ́,le voilà dedans
A d'asa ana ɔ,Tu franchis le pont
E fyɔn nutitɛ nu mi,II m'a pressé un abcès
Un nɔ ml'ayi ɖo gan wo mε.,Je me couche à 10 heures
E xwὲ,Il se tait.
kplé afɔ̀ dŏ,se rassembler
"Vi lε, mi nɔ xwe do nukplɔn mε mεjitɔ mitɔn lε tɔn.","Enfants, suivez les conseils de vos parents"
kɔ́sukɔ́sú agbotlà,termite à grosse tête
"Nŭ nɛ ɔ lin kpɔ́n wɛ é ɖè, bɔ wɛnsagun Aklunɔ tɔn wá xò dlɔ̆ ɛ","Alors qu'il avait formé ce dessein, voici que l'Ange du Seigneur lui apparut en songe."
mi xɔ kpεɖe à,avez
"Bo nu gan wa ɔ, blo ɖi a ɖo lin kpɔn mɛ","Quand le patron arrive, fais comme tu penses."
avɔ towe syɛ́n kàn,ton pagne est solide
to ɔ,le pays
ye na mɔ xo ɖe bɔ na ɖɔ ɖo sin towe jɛn wɛ,elles trouveront une histoire pour parler précisément de toi
gan nabi mɛ hun nɔ sun,a quelle heure le moyen de transport
Bo nu asi tɔn na mɔ kwε.,Pour que sa femme ait de l'argent
un ba nu a nε ɖɔ nugbo nu mi,j'aimerais que tu me dises la vérité
Yetɔn wɛ,C'est le leur.
Mi ɖo gan mε mitɔn bi.,Nous avions tout notre temps
Azinsatɔ ce !,Mon vendeur d’œufs !
E h'ànɖù mí d'áwà,Il m'a mordu au bras.
Ɖo ali ji,Dans la rue
nu fín,la bouche où le cure-dents n’a pas été employé depuis le réveil
afɔ ce cí kpejeè,mon pied est engourdi
Atinsinsεn yɔyɔ,Un fruit nouveau
Un xwe wemaxɔmε Kutonu tɔn,Je vais à l’université de Cotonou.
un si sin xomε tawun,je pourrais être très fâché
Atinsinsεn tε a nɔ ɖu ?.,Tu manges quoi comme fruit ? 
E ma na kú gɛ́ !,On n’en mourra pas !
É gbɔ̀n vo nú mì,Il est différent de moi.
a do jiɖe do radio ɔ wu à abi,tu ne fais pas confiance à la radio n'est-ce pas
Kanɖe nukun atɔn,43
e kpo wuvε nabiɖe bo mi na mɔ wlεnwin na,il reste quelques problèmes à résoudre
Nukún cé mɛ́ gbá zĭn,J’ai le vertige.
e xwlɛ́ ta b'ɛ́ ɖó mámámá,il s'est rasé la tête et n'a plus un cheveu
Yĕ ɖò gbojlaka ɖú wɛ̀ bó j’àyĭ,Ils faisaient la gambade et ils sont tombés.
Vi lɛ ɖo ayihun da wɛ ɖo gle ɔ mɛ,Les enfants s’amusent dans le champ.
Un ɖɔ nu we a e ?,"Je te l'ai dit, non ? : "
A ɖò slamɛ ɖɔ́ dó wù cé wɛ̀,Tu te moques de moi.
jlă nŭ dŏ mε,vanter quelque chose à quelqu'un
Gbɔsu donu gbɔsi,Le bouc uni à la chèvre
Mi kan ɖo nyibu asi ɔ wε.,On attache la vache 
ahwannɛ lɛ nɔ blo adɔ yetɔn ɖo do so e mɛ,les pigeons se nichent dans les trous des murs
Fí tɛ́ a go sín ?,De quel village es-tu ?
Do syɛnsyɛn,Un mur solide.
Un ɖò kwékwé bá ná xɔ́ wɛ̀ ă,Je n'ai pas besoin de bananes.
do nubyaxa nu mɛ,faire une blague à propos de quelqu'un
gɔn ce,ma maison
yovózɛn xɔ gbé wɛ un wă,je viens pour acheter des oranges
dŏ jijɔ nɛ́ ɔ́ dò,enterre cette habitude mauvaise
ayi tɔn gɛ́dɛ́ dó mì,je ne le comprends pas
Etɛ́ wú é ɖò tintɔn wɛ̀,Pourquoi boit-il ?
fítέ a go sín kpó dὲn kpó mɔ̆,d'où viens-tu ainsi tout suant
"Nataa ja le ɔ, gbɛtɔ nɔ su kpɔ","A l'approche de Noël, il y a du monde dans le marché"
un wa mɔ nu jɛ mɛ ɖo linlin mɛ,j'ai compris longtemps après
E gbé nŭ,Il a volé.
etɛ́ wá gbé mi xwé yì ɖò,qu'allez
"Tɔ ce ɔ xwlεkpato wε, nɔ ce akwεxatɔ bo un nyi azɔmεvi.","Mon père est menuisier, ma mère est comptable et moi, je suis étudiant en droit : "
yè nɔ́ kpà susu nú măwŭ,ils louaient dieu
Yi dun sin ɖo tɔ mɛ̀,Va puiser de l'eau à la citerne.
Axi ɔ jε gbawunjo,Le prix est devenu dérisoire
gɔ̆n - xwé - xwé gbè,demeure
goɖogoɖò - kεɖεὲ,gros et lourd
gbòló - lὲló,parole en l'air
Alɔ towe jlɔ́ ă,Tu es maladroit.
Ali ɔ gbló bó ɖò faà,Le chemin est large et sans obstacles.
nu dida so hwenu,le temps de faire la cuisine
mawu na sɔ ɖo tɛn tɔn mɛ nu we,dieu le remettra à sa place pour toi
"Ye mɛxo tawun wɛ, ye ko nɔ ɖo xwe…","Ils sont vraiment des adultes, ils sont déjà à un âge..."
A na mì atínkɛ́n élɔ́,Tu avaleras ce comprimé.
Alɔ tɔn fá tɔɔ̀,Sa main est glacée.
nukun,oeuil
Vi ɔ ɖo zan ɔ gwlε.,L’enfant est sous le lit 
súnnú wɛ́ n'í,il est de sexe masculin
nɔ towe ɖò xwé gbé à,ta mère est
allô mɛwɛ,allô c'est qui
É ci mì,Il me dégoûte.
dŏ ahŏ,teindre à l'indigo
"Nyε ɔ, un ɖo azɔ wa wε sin tεgbε bo un ma te ko fo","Moi, je travaille depuis des heures et je n'ai pas encore fini."
Nukunnɔ nyi kan fɔn te de kuku. - Gbɛ ce kan kasa.,Un aveugle a lancé une corde par-dessus un palmier mort. – Ma vie a trouvé dans la consultation le « du kasa ».
"E nɔ kpe ye ɖo ali mitɔn lɛ ji kpo aximɛ tɔn lɛ mɛ, agbajɛ nɔ ɖo ta nu ye bɔ ye nɔ ɖo nu sa wɛ alɔ ye nɔ hɛn agban kpikpɛn, ye nɔ hɛn kpo ɖo alɔ mɛ bo nɔ nɔ kanlin ɖaxoɖaxo lɛ gudo","On les rencontre dans nos rues et marchés, les plateaux sur la tête vendant à la criée ou transportant des charges lourdes qui écrasent leurs frêles corps, dans les champs courant derrière des bêtes deux fois plus grandes qu’eux, bâtons à la main."
ɖò alɔ̀ ɖokpó jí,être d'accord
Bo e nɔ ɖyɔ zanjivɔ azɔn gege ɖo vodungbegblamɛ ɔ mɛ,Et elle change les draps plusieurs fois par semaine.
jì kpέ,avoir un enfant alors que le précédent tète encore
un ɖó nukún ɖĕbŭ ă,je ne m'y attendais pas
hanlan ɖesu ka lɛ ɖe,il y a aussi la viande de porc
Un ɖo na ze xwe gege ɖo te xwe cobɔ na si do fɔngbe kaka bɔ e na nyɔ.,"Il me faudra beaucoup d'années avant que je parle fon, jusqu'à ce que ce soit bien"
fí bì hɔ́n,il fait bien clair
Tɔ́ cé nɔ́ví jowun wɛ̀,C’est mon propre oncle.
klɔ́ akpà,panser une plaie
nɔvi ce nyɔnu kpɛvi ɔ ɖo kutɔnu,ma jeune soeur est allée à cotonou
Vi ɔ ɖo sisɔsisɔ ɖo afɔ tɔn lɛ ji wɛ,Bébé tremble sur ses jambes.
Mɛ nɛ ?,Quelle est cette personne ?
Hwɛ nyaví élɔ́ gbo fin dín,"Toi, mon garçon, tu es grossier, un vrai goujat."
Un mɔ tan hɛ̀n tó kɔ ɖĕbŭ ă,J’ai maigri.
E cyɔn kpodo xɔgbagannu kpo.,Elle est couverte avec des tôles
Mε ɔ gletanu lε ɖu ɖo ahwan ji.,Les villageois emporterent une victoire retentissante 
Kofi lo cɔ eɖe,Que Kofi fasse attention a lui-même
Su mitɔn wε,C'est notre coutume
é ɖó atán xwiyaà,il a une longue barbe
mĭ jà nù ɖú gbé,nous sommes sur le point de manger
É cí tɔ́ tɔ́n ɖɔ́hùn,Il ressemble à son père.
Mi sixu kɔn sin fifa kpɛɖe do kafe ce mɛ a ?,Voudriez-vous me verser un peu d'eau froide dans mon café ?
Agun ɖe lε nɔ ɖi xεsi nu ye ɖo ye nɔ gble wu kεntɔ yetɔn lε ma ɖo nukun tɔn.,Les autres tribus les craignent parce qu'ils blessent leurs ennemis à l'improviste avec des flèches 
Énɛ́ ɖ’é mɛ́ nɛ́ !,Le voilà dedans !
Kokló ɖò kɔ́ kán wɛ̀,La poule gratte la terre.
sá kán mε,râfler quelque chose
egbe ɔ e kpɔn te n'i,aujourd'hui il va mieux
Nù cé nɔ́ vɛ́ wŭ tɔ̀n,Je lui déplais.
